level,num,matter_type,density,hf,mbpt,cc,time
5, 66, 1, 0.20000000000000001, 21.615506921723391, 21.615506921723391, 21.615506921723391+ 0.00000, 27.803889852000001
6, 66, 1, 0.20000000000000001, 21.615506921723391, 21.340022189935610, 21.376103214812783+ -0.00869, 36.487103198000000
7, 66, 1, 0.20000000000000001, 21.615506921723391, 21.044144402526193, 21.117141026251883+ -0.02921, 52.277808116999999
8, 66, 1, 0.20000000000000001, 21.615506921723391, 21.026431703854520, 21.100826503842800+ -0.03236, 62.367952817999999
9, 66, 1, 0.20000000000000001, 21.615506694669225, 20.993237569328087, 21.071926082522566+ -0.03573, 100.09635956100000
10, 66, 1, 0.20000000000000001, 21.615506501884710, 20.988868313335640, 21.067741885512451+ -0.03689, 137.26092857500001
11, 66, 1, 0.20000000000000001, 21.615506554062478, 20.988262791378315, 21.067010344928466+ -0.03741, 188.29830687200001
12, 66, 1, 0.20000000000000001, 21.615506825619804, 20.988236664496469, 21.066960071757546+ -0.03747, 213.35282772400001
13, 66, 1, 0.20000000000000001, 21.615506487698578, 20.988180322401160, 21.066841301404487+ -0.03754, 274.85858567499997
14, 66, 1, 0.20000000000000001, 21.615506396611330, 20.988154117464386, 21.066759209575505+ -0.03758, 518.72625787599998
15, 66, 1, 0.20000000000000001, 21.615507222387407, 20.988154928595392, 21.066759384025364+ -0.03758, 487.50839228100000
16, 66, 1, 0.20000000000000001, 21.615506864858901, 20.988154576475651, 21.066754854356173+ -0.03758, 690.84625578800001
17, 66, 1, 0.20000000000000001, 21.615507001218667, 20.988154710882288, 21.066754075043203+ -0.03758, 894.30692348299999
18, 66, 1, 0.20000000000000001, 21.615506304775337, 20.988154026502915, 21.066753333594747+ -0.03758, 1044.0747524520000
19, 66, 1, 0.20000000000000001, 21.615506984070514, 20.988154693819951, 21.066753993969886+ -0.03758, 1188.0046409189999
20, 66, 1, 0.20000000000000001, 21.615506951278437, 20.988154661699294, 21.066753934578319+ -0.03758, 1631.6996160110000
21, 66, 1, 0.20000000000000001, 21.615506381295965, 20.988154100576146, 21.066753368434430+ -0.03758, 1838.4053792210000
22, 66, 1, 0.20000000000000001, 21.615506941340620, 20.988154652437490, 21.066753920173447+ -0.03758, 2077.2681091230002
23, 66, 1, 0.20000000000000001, 21.615506650613103, 20.988154365923780, 21.066753634631258+ -0.03758, 2328.2404514800000
24, 66, 1, 0.20000000000000001, 21.615506733941572, 20.988154448851663, 21.066753718980813+ -0.03758, 3177.9190886229999
25, 66, 1, 0.20000000000000001, 21.615506555980257, 20.988154273694601, 21.066753541262361+ -0.03758, 3493.5486741220002
26, 66, 1, 0.20000000000000001, 21.615506842608543, 20.988154555372763, 21.066753824068027+ -0.03758, 4612.2595643830000
27, 66, 1, 0.20000000000000001, 21.615506485822468, 20.988154204890414, 21.066753471112403+ -0.03758, 5389.1481102300004
