level,num,matter_type,density,hf,mbpt,cc,time
5, 66, 1, 0.16000000000000000, 16.656529818030901, 16.656529818030901, 16.656529818030901+ 0.00000, 27.781421158000001
6, 66, 1, 0.16000000000000000, 16.656529818030901, 16.363790795344677, 16.408587972935475+ -0.00862, 36.005422062000001
7, 66, 1, 0.16000000000000000, 16.656529818030901, 15.986504640069253, 16.086667069395993+ -0.03279, 51.817480433000000
8, 66, 1, 0.16000000000000000, 16.656529818030901, 15.946329262769627, 16.051133935983835+ -0.03778, 62.439779950999998
9, 66, 1, 0.16000000000000000, 16.656529739449141, 15.873071950636549, 15.989009145473771+ -0.04404, 98.598603452000006
10, 66, 1, 0.16000000000000000, 16.656529670967934, 15.856186155874965, 15.974222478819831+ -0.04655, 136.98478712100001
11, 66, 1, 0.16000000000000000, 16.656529689217368, 15.852030582848652, 15.970192757803709+ -0.04787, 190.34819994599999
12, 66, 1, 0.16000000000000000, 16.656529784591054, 15.851545363314248, 15.969683034274663+ -0.04810, 213.69674787200000
13, 66, 1, 0.16000000000000000, 16.656529670049007, 15.850896647202768, 15.968950193587148+ -0.04834, 285.08650950700002
14, 66, 1, 0.16000000000000000, 16.656529637207043, 15.850421759757989, 15.968390931684198+ -0.04853, 454.33801089899998
15, 66, 1, 0.16000000000000000, 16.656529910725265, 15.850422013671698, 15.968388948290205+ -0.04853, 488.88020944499999
16, 66, 1, 0.16000000000000000, 16.656529798620298, 15.850421309939795, 15.968369613489131+ -0.04854, 695.60219085400001
17, 66, 1, 0.16000000000000000, 16.656529836656595, 15.850421177542223, 15.968363651983116+ -0.04855, 881.02532709000002
18, 66, 1, 0.16000000000000000, 16.656529604361012, 15.850420950025093, 15.968362738629876+ -0.04855, 1045.8561294140000
19, 66, 1, 0.16000000000000000, 16.656529836604214, 15.850421176839980, 15.968362810576650+ -0.04855, 1212.4832036299999
20, 66, 1, 0.16000000000000000, 16.656529825187761, 15.850421165363073, 15.968362342204149+ -0.04855, 1678.6389044560001
21, 66, 1, 0.16000000000000000, 16.656529636443690, 15.850420980342069, 15.968362085464971+ -0.04855, 1816.4508625540000
22, 66, 1, 0.16000000000000000, 16.656529822514209, 15.850421163146555, 15.968362267491385+ -0.04855, 2079.0400206160002
23, 66, 1, 0.16000000000000000, 16.656529569808374, 15.850420916543579, 15.968362019161914+ -0.04855, 2659.4688565950000
24, 66, 1, 0.16000000000000000, 16.656529586594331, 15.850420933608996, 15.968362035934954+ -0.04855, 3149.6279086889999
25, 66, 1, 0.16000000000000000, 16.656529516149874, 15.850420864277618, 15.968361963781479+ -0.04855, 3450.2317810919999
26, 66, 1, 0.16000000000000000, 16.656529632456564, 15.850420977965053, 15.968362079648152+ -0.04855, 4579.5238248460000
27, 66, 1, 0.16000000000000000, 16.656529434048384, 15.850420784335176, 15.968361883214397+ -0.04855, 6265.4960450310000
