level,num,matter_type,density,hf,mbpt,cc,time
5, 66, 1, 0.14000000000000001, 14.438489837778819, 14.438489837778819, 14.438489837778819+ 0.00000, 28.119656841000001
6, 66, 1, 0.14000000000000001, 14.438489837778819, 14.156969319976922, 14.203876898289339+ -0.00795, 36.082098352999999
7, 66, 1, 0.14000000000000001, 14.438489837778819, 13.766735437934917, 13.877863802215323+ -0.03149, 52.056740693999998
8, 66, 1, 0.14000000000000001, 14.438489837778819, 13.710580101292098, 13.829354689186315+ -0.03717, 63.547699750000000
9, 66, 1 ,0.14000000000000001, 14.438489961318595, 13.606430491538525, 13.742406249554374+ -0.04506, 98.711649023999996
10, 66, 1, 0.14000000000000001, 14.438490070509033, 13.574303268908167, 13.715231605089814+ -0.04861, 140.52981652899999
11, 66, 1, 0.14000000000000001, 14.438490041608926, 13.564387851523675, 13.706179779204096+ -0.05066, 197.25765268699999
12, 66, 1, 0.14000000000000001, 14.438489890493063, 13.562902005227341, 13.704763483996972+ -0.05104, 212.63825692899999
13, 66, 1, 0.14000000000000001, 14.438490068537174, 13.561028668707845, 13.702921778910859+ -0.05149, 277.11779957800002
14, 66, 1, 0.14000000000000001, 14.438490121241745, 13.559514311303944, 13.701408490648348+ -0.05190, 454.05931006999998
15, 66, 1, 0.14000000000000001, 14.438489701664098, 13.559513068532285, 13.701403260837219+ -0.05191, 478.19747563999999
16, 66, 1, 0.14000000000000001, 14.438489868043060, 13.559498859386119, 13.701353547989353+ -0.05194, 688.62703972899999
17, 66, 1, 0.14000000000000001, 14.438489816080603, 13.559494439059842, 13.701336561170688+ -0.05195, 889.32864154499998
18, 66, 1, 0.14000000000000001, 14.438490173812141, 13.559494731992514, 13.701334731176104+ -0.05195, 1126.3166782630001
19, 66, 1, 0.14000000000000001, 14.438489811142139, 13.559494377592163, 13.701333779146241+ -0.05195, 1218.7534380940001
20, 66, 1, 0.14000000000000001, 14.438489829126544, 13.559494377508519, 13.701332271561521+ -0.05195, 1611.6083344419999
21, 66, 1, 0.14000000000000001, 14.438490118597979, 13.559494660912671, 13.701332314178986+ -0.05195, 1846.6768066720001
22, 66, 1, 0.14000000000000001, 14.438489832686059, 13.559494379958714, 13.701332027586689+ -0.05195, 2077.8623775980000
23, 66, 1, 0.14000000000000001, 14.438489978748191, 13.559494522761492, 13.701332151542850+ -0.05195, 2497.7203149890001
24, 66, 1, 0.14000000000000001, 14.438489962397405, 13.559494505773147, 13.701332120298861+ -0.05195, 3072.5132439170002
25, 66, 1, 0.14000000000000001, 14.438490038857054, 13.559494581341664, 13.701332202958577+ -0.05195, 3596.4991082830002
26, 66, 1, 0.14000000000000001, 14.438489893623998, 13.559494438771360, 13.701332051465148+ -0.05195, 4544.2007132099998
27, 66, 1, 0.14000000000000001, 14.438490065022604, 13.559494606456971, 13.701332219315246+ -0.05195, 5506.8948534310002
