level,num,matter_type,density,hf,mbpt,cc,time
5, 66, 1, 0.17999999999999999, 19.058967803421535, 19.058967803421535, 19.058967803421535, 27.347494077000000
6, 66, 1, 0.17999999999999999, 19.058967803421535, 18.769841447609277, 18.810490786740299, 37.922289216000003
7, 66, 1, 0.17999999999999999, 19.058967803421535, 18.427752969620652, 18.514128594639313, 61.840478283000003
8, 66, 1, 0.17999999999999999, 19.058967803421535, 18.400739862495954, 18.489743418335376, 74.151958954999998
9, 66, 1, 0.17999999999999999, 19.058968091348046, 18.350826625281147, 18.446897825086296, 120.79838312100000
10, 66, 1, 0.17999999999999999, 19.058968338922362, 18.342397499388472, 18.439216857729015, 168.84283178300001
11, 66, 1, 0.17999999999999999, 19.058968272439056, 18.340788382724160, 18.437518525164851, 241.59321165899999
12, 66, 1, 0.17999999999999999, 19.058967925613555, 18.340662071298638, 18.437358839392491, 268.22641942799999
13, 66, 1, 0.17999999999999999, 19.058968349773632, 18.340460870026323, 18.437070243308067, 347.61809429900001
14, 66, 1, 0.17999999999999999, 19.058968467669057, 18.340334647707643, 18.436861518106451, 575.31384953800000
15, 66, 1, 0.17999999999999999, 19.058967442598277, 18.340333644148856, 18.436859274615870, 591.49204696200002
16, 66, 1, 0.17999999999999999, 19.058967875030696, 18.340334056618161, 18.436850597230588, 896.55746287600005
17, 66, 1, 0.17999999999999999, 19.058967718542121, 18.340333899424436, 18.436848075745104, 1153.6705910220001
18, 66, 1, 0.17999999999999999, 19.058968585995892, 18.340334749475460, 18.436848719090825, 1387.1589937159999
19, 66, 1, 0.17999999999999999, 19.058967729739461, 18.340333910784832, 18.436847847060875, 1642.2209353569999
20, 66, 1, 0.17999999999999999, 19.058967771478507, 18.340333951476421, 18.436847769190855, 2445.6387512289998
21, 66, 1, 0.17999999999999999, 19.058968478929522, 18.340334646399960, 18.436848444236411, 2847.3941631729999
22, 66, 1, 0.17999999999999999, 19.058967782694729, 18.340333961517736, 18.436847761130078, 3198.9315463650000
23, 66, 1, 0.17999999999999999, 19.058968335240408, 18.340334503504867, 18.436848301286602, 3026.9463091399998
24, 66, 1, 0.17999999999999999, 19.058968249694381, 18.340334417988263, 18.436848214026806, 4670.5019320069996
25, 66, 1, 0.17999999999999999, 19.058968483551663, 18.340334647974331, 18.436848445847662, 5255.4913050400000
26, 66, 1, 0.17999999999999999, 19.058968099591691, 18.340334271574296, 18.436848066954049, 6869.5321603800003
27, 66, 1, 0.17999999999999999, 19.058968639370335, 18.340334800218969, 18.436848597557173, 7724.3930771420000
