states,particles,matter_type,density,hf,mbpt,cc,time   
6,66,1,0.20000000000000001,21.615506921723391,21.280937903781023,21.325538875939948,2.0655500000000000
7,66,1,0.20000000000000001,21.615506921723387,20.920504463880768,21.013104100729297,3.2462350000000000
8,66,1,0.20000000000000001,21.615506921723394,20.900013258537854,20.994481631957395,4.1234679999999999
27,66,1,0.20000000000000001,21.615506485822468,20.856993715698533,20.957050174935926,1696.8164720000000
