level,num,matter_type,density,hf,mbpt,cc,time
5, 132, 2, 0.10000000000000001, -9.4612429914285112, -9.4612429914285112, -9.4612429914285112, 41.756149905999997
6, 132, 2, 0.10000000000000001, -9.4612429914285112, -9.9188211507411097, -9.9137597560769990, 58.183866797999997
7, 132, 2, 0.10000000000000001, -9.4612429914285112, -10.708308537323184, -10.606765897909700, 114.38725574400000
8, 132, 2, 0.10000000000000001, -9.4612429914285112, -10.979349897817420, -10.835069686143884, 105.56989603700001
9, 132, 2, 0.10000000000000001, -9.4612429470284258, -11.617100686690168, -11.358321339071216, 144.85272162900000
10, 132, 2, 0.10000000000000001, -9.4612429040678041, -12.104465096577050, -11.748845407353754, 212.94609536999999
11, 132, 2, 0.10000000000000001, -9.4612429143732246, -12.480369626586917, -12.047001292765685, 672.65538571100001
12, 132, 2, 0.10000000000000001, -9.4612429727467617, -12.566097826863606, -12.114633109894692, 510.45182789400002
13, 132, 2, 0.10000000000000001, -9.4612429148332335, -12.797639941342659, -12.298744464702970, 550.81805515400004
14, 132, 2, 0.10000000000000001, -9.4612428935974862, -13.127124675920088, -12.560156387149835, 947.15963790399996
15, 132, 2, 0.10000000000000001, -9.4612430127183735, -13.149408015315860, -12.578545387622054, 952.40252219000001
16, 132, 2, 0.10000000000000001, -9.4612429832079670, -13.266408382328823, -12.675289894427555, 1392.7190576840001
17, 132, 2, 0.10000000000000001, -9.4612429754180400, -13.327569800929822, -12.727291289487976, 2322.4047297389998
18, 132, 2, 0.10000000000000001, -9.4612428721353474, -13.349552298265671, -12.746362708253439, 3853.8649106890002
19, 132, 2, 0.10000000000000001, -9.4612429933771338, -13.363626672523013, -12.759048397191478, 4364.1953698230000
20, 132, 2, 0.10000000000000001, -9.4612429867416541, -13.384047247429828, -12.777820217955306, 3440.0498507739999
21, 132, 2, 0.10000000000000001, -9.4612429051567855, -13.389245087090794, -12.782672923795730, 4022.8558460720001
22, 132, 2, 0.10000000000000001, -9.4612429873717936, -13.390757146839574, -12.784280039210364, 3674.1615196100001
23, 132, 2, 0.10000000000000001, -9.4612429460781584, -13.392362240317865, -12.786027097637643, 9636.1831937959996
24, 132, 2, 0.10000000000000001, -9.4612429206257218, -13.394164588591130, -12.788132202640199, 8653.6557439919998
25, 132, 2, 0.10000000000000001, -9.4612429171886081, -13.394445609557957, -12.788508332793011, 7716.8997311240000
26, 132, 2, 0.10000000000000001, -9.4612429555679718, -13.394650129419455, -12.788811440158092, 10154.265822128000
