level,num,matter_type,density,hf,mbpt,cc,time
5, 132, 2, 0.14000000000000001, -11.194156680835539, -11.194156680835539, -11.194156680835539, 56.891326683000003
6, 132, 2, 0.14000000000000001, -11.194156680835539, -11.731549660012833, -11.696520421835283, 70.656284970000002
7, 132, 2, 0.14000000000000001, -11.194156680835539, -12.650184290892948, -12.504308341727238, 91.974565174000006
8, 132, 2, 0.14000000000000001, -11.194156680835539, -12.952932535695656, -12.772736888458047, 110.53883514899999
9, 132, 2, 0.14000000000000001, -11.194156870540915, -13.616858414823175, -13.356180384104780, 149.50807969499999
10, 132, 2, 0.14000000000000001, -11.194157049690753, -14.078038525880512, -13.764907972980678, 212.23169435400001
11, 132, 2, 0.14000000000000001, -11.194157005932135, -14.381743872196205, -14.037900297469037, 296.80188551399999
12, 132, 2, 0.14000000000000001, -11.194156760995256, -14.441239147220434, -14.091665976311601, 412.45841604100002
13, 132, 2, 0.14000000000000001, -11.194157016149379, -14.591985137765786, -14.234703005238545, 544.54537251099998
14, 132, 2, 0.14000000000000001, -11.194157103975675, -14.772635227811339, -14.409957746121508, 1530.4577215410000
15, 132, 2, 0.14000000000000001, -11.194156556330551, -14.780632246919419, -14.418628477407127, 942.56543616600004
16, 132, 2, 0.14000000000000001, -11.194156719277082, -14.820253498929953, -14.463011018481735, 1736.9459245460000
17, 132, 2, 0.14000000000000001, -11.194156720111561, -14.838169756080926, -14.484577028050298, 2273.7477623200002
18, 132, 2, 0.14000000000000001, -11.194157192306616, -14.842515357709622, -14.490219386222448, 2639.8809787579999
19, 132, 2, 0.14000000000000001, -11.194156663326904, -14.844589828622039, -14.493289963497563, 2418.0919391870002
20, 132, 2, 0.14000000000000001, -11.194156691225196, -14.847919604532320, -14.498361067931421, 2663.8322566850002
21, 132, 2, 0.14000000000000001, -11.194157067703777, -14.848472701577291, -14.499333172699314, 3065.4161913570001
22, 132, 2, 0.14000000000000001, -11.194156691082595, -14.848529379805171, -14.499504062874687, 3489.6403145009999
23, 132, 2, 0.14000000000000001, -11.194156881084732, -14.848586006103545, -14.499707583595065, 5004.1802447569999
24, 132, 2, 0.14000000000000001, -11.194156952034955, -14.848628230521756, -14.499914305326545, 6893.3022335490004
25, 132, 2, 0.14000000000000001, -11.194156995860423, -14.848631148624799, -14.499946504033410, 7673.3204980399996
26, 132, 2, 0.14000000000000001, -11.194156815532097, -14.848632793085068, -14.499966012441790, 17044.169204452999
27, 132, 2, 0.14000000000000001, -11.194156994134884, -14.848633296286140, -14.499973400723389, 19437.885111600001
