level,num,matter_type,density,hf,mbpt,cc,time
5, 132, 2, 0.20000000000000001, -10.631267547258982, -10.631267547258982, -10.631267547258982, 326.78478814599998
6, 132, 2, 0.20000000000000001, -10.631267547258982, -11.359469057255517, -11.315118211393720, 448.39154938600001
7, 132, 2, 0.20000000000000001, -10.631267547258982, -12.549583743057113, -12.434647033795967, 717.55923882499997
8, 132, 2, 0.20000000000000001, -10.631267547258982, -12.868254640024086, -12.746150051059120, 892.45623074200000
9, 132, 2, 0.20000000000000001, -10.631268164193573, -13.456781528118485, -13.328175137224042, 1468.9850429730000
10, 132, 2, 0.20000000000000001, -10.631268730699100, -13.775686759199036, -13.660384325413514, 2094.7611942580002
11, 132, 2, 0.20000000000000001, -10.631268590344023, -13.934448737987127, -13.837273250813070, 3020.7824972029998
12, 132, 2, 0.20000000000000001, -10.631267807473794, -13.958849482619826, -13.865330340632182, 3404.2244600630002
13, 132, 2, 0.20000000000000001, -10.631268662883146, -14.017839665279761, -13.940760109846716, 3977.0378454719998
14, 132, 2, 0.20000000000000001, -10.631268938022391, -14.071060214194931, -14.014671240986520, 6669.1877173379999
15, 132, 2, 0.20000000000000001, -10.631267025557438, -14.071729389448151, -14.016342465412732, 1251.5106305760000
16, 132, 2, 0.20000000000000001, -10.631267680775782, -14.075794265229153, -14.026005250056883, 1636.0618635149999
17, 132, 2, 0.20000000000000001, -10.631267579759097, -14.077243617423205, -14.030014190141015, 2281.3503017950002
18, 132, 2, 0.2000000000000000,1 -10.631269214805704, -14.077384046638848, -14.030657544870822, 2119.4309104899999
19, 132, 2, 0.20000000000000001, -10.631267459194660, -14.077413116190831, -14.030946054376059, 2511.6651029320001
20, 132, 2, 0.20000000000000001, -10.631267548457135, -14.077532101795448, -14.031545841396960, 3288.9180994600001
21, 132, 2, 0.20000000000000001, -10.631268866195551, -14.077538053046535, -14.031633260941600, 5330.6653039490002
22, 132, 2, 0.20000000000000001, -1, -1, -1, -1
23, 132, 2, 0.20000000000000001, -10.631267828705214, -14.077537154374699, -14.031656385555330, 6446.1756949990004
24, 132, 2, 0.20000000000000001, -10.631267909785565, -14.077537234882067, -14.031669576392220, 9918.7716939780003
25, 132, 2, 0.20000000000000001, -10.631268125561048, -14.077537440147438, -14.031671767198340, 11404.727753233999
26, 132, 2, 0.20000000000000001, -10.631267520129247, -14.077536869328441, -14.031671912901885, 17334.272810175000
27, 132, 2, 0.20000000000000001, -10.631268003699869, -14.077537304365132, -14.031672518174981, 16045.783384816999
