states,particles,matter_type,density,hf,mbpt,cc,time
7, 132, 2, 0.17999999999999999, -11.264722572093261, -13.846139768470717, -13.605337921256700, 40.634385000000002
8, 132, 2, 0.17999999999999999, -11.264722572093239, -14.326459950335048, -14.040729512783448, 60.277301999999999
9, 132, 2, 0.17999999999999999, -11.264722902932839, -15.277742977657640, -14.903111832856061, 117.12109900000000
10, 132, 2, 0.17999999999999999, -11.264723209196804, -15.785599948181559, -15.373839004975210, 300.66712500000000
11, 132, 2, 0.17999999999999999, -11.264723133689074, -16.071025579508451, -15.649603443304924, 407.29246499999999
12, 132, 2, 0.17999999999999999, -11.264722711717420, -16.126423761345080, -15.705862785092656, 494.61613699999998
13, 132, 2, 0.17999999999999999, -11.264723166758445, -16.240583477311581, -15.828616094626975, 812.97213299999999
14, 132, 2, 0.17999999999999999, -11.264723315866259, -16.359761069152793, -15.965927916811413, 1488.6081680000000
25, 132, 2, 0.17999999999999999, -11.264723118570302, -16.380580527193491, -16.002522088887556, 8431.4611069999992
