level,num,matter_type,density,hf,mbpt,cc,time
5, 132, 2, 0.17999999999999999, -11.099319528460942, -11.099319528460942, -11.099319528460942, 31.557000021000000
6, 132, 2, 0.17999999999999999, -11.099319528460942, -11.756581484855070, -11.714821847495642, 97.454948318000007
7, 132, 2, 0.17999999999999999, -11.099319528460942, -12.856054029782396, -12.731905911700268, 122.76518993700000
8, 132, 2, 0.17999999999999999, -11.099319528460942, -13.178647914563264, -13.039010507345621, 128.52201188800001
9, 132, 2, 0.17999999999999999, -11.099319851173291, -13.812799859635490, -13.646534545205352, 189.03725252400000
10, 132, 2, 0.17999999999999999, -11.099320150618329, -14.189084762548337, -14.020639414455704, 271.55677383900002
11, 132, 2, 0.17999999999999999, -11.099320076647974, -14.395289107160172, -14.235371924858178, 377.35180546100003
12, 132, 2, 0.17999999999999999, -11.099319664929171, -14.429652928889773, -14.271858774601558, 343.13657427300001
13, 132, 2, 0.17999999999999999, -11.099320107680484, -14.513188168537328, -14.368871444403069, 538.31721926299997
14, 132, 2, 0.17999999999999999, -11.099320253666113, -14.596772757734055, -14.471642272085939, 733.01763389700000
15, 132, 2, 0.17999999999999999, -11.099319278367961, -14.598584863990999, -14.474753354368945, 2226.2664283290001
16, 132, 2, 0.17999999999999999, -11.099319597139088, -14.608257520628436, -14.491657510679939, 1115.2697314620000
17, 132, 2, 0.17999999999999999, -11.099319562743052, -14.611971612921792, -14.499026960233422, 1463.9944954519999
18, 132, 2, 0.17999999999999999, -11.099320400106375, -14.612482179108959, -14.500388727665037, 2930.8981486759999
19, 132, 2, 0.17999999999999999, -11.099319488247092, -14.612636880444670, -14.501021562472921, 2519.5620863640002
20, 132, 2, 0.17999999999999999, -11.099319535307151, -14.613020177656693, -14.502258442721930, 5581.5098498409998
21, 132, 2, 0.17999999999999999, -11.099320207120455, -14.613050296137017, -14.502447423510118, 5052.9995396029999
22, 132, 2, 0.17999999999999999, -11.099319537827014, -14.613050210151375, -14.502470162456230, 7535.7080322660004
23, 132, 2, 0.17999999999999999, -11.099319876604904, -14.613050806168589, -14.502502663563911, 6971.8271422910002
24, 132, 2, 0.17999999999999999, -11.099319954850591, -14.613051040767374, -14.502534392386677, 8376.3386375980008
25, 132, 2, 0.17999999999999999, -11.099320061759721, -14.613051149536474, -14.502539734590059, 7975.8837793250004
26, 132, 2, 0.17999999999999999, -11.099319737057774, -14.613050843132518, -14.502541455655548, 10051.610736261000
27, 132, 2, 0.17999999999999999, -11.099320077521281, -14.613051145798197, -14.502542439383353, 9598.9125304570007
