states,particles,matter_type,density,hf,mbpt,cc,time
7, 132, 2, 0.12000000000000000, -10.585683907117577, -12.360846381375096, -12.159842626906604, 39.341938999999996
8, 132, 2, 0.12000000000000000, -10.585683907117591, -12.763889024335054, -12.498141784341286, 61.055515999999997
9, 132, 2, 0.12000000000000000, -10.585683975414149, -13.703341050287170, -13.268847560677989, 150.50765400000000
10, 132, 2, 0.12000000000000000, -10.585684040521670, -14.331928914131151, -13.775507379780223, 296.65601099999998
11, 132, 2, 0.12000000000000000, -10.585684024748099, -14.798883543860072, -14.150633829556249, 364.47717200000000
12, 132, 2, 0.12000000000000000, -10.585683935908579, -14.914764731031005, -14.244939407977693, 417.32017000000002
13, 132, 2, 0.12000000000000000, -10.585684026696795, -15.178434672613877, -14.462522893688016, 689.21487100000002
14, 132, 2, 0.12000000000000000, -10.585684058709148, -15.537917096399518, -14.762943558225485, 1196.5099499999999
25, 132, 2, 0.12000000000000000, -10.585684161498445, -15.730396433431007, -14.943874226697822, 8689.1835719999999
