states,particles,matter_type,density,hf,mbpt,cc,time
7, 132, 2, 0.10000000000000001, -9.4750925963695938, -11.022679816135337, -10.872343025107449, 40.578364000000001
8, 132, 2, 0.10000000000000001, -9.4750925963695938, -11.381141890502979, -11.168705059305285, 58.435977000000001
9, 132, 2, 0.10000000000000001, -9.4750925515597064, -12.245959308544629, -11.862793352826884, 145.62376699999999
10, 132, 2, 0.10000000000000001, -9.4750925082490465, -12.857309589943128, -12.339827007554170, 292.68466699999999
11, 132, 2, 0.10000000000000001, -9.4750925186332076, -13.346888736818570, -12.716342014719523, 403.74835300000001
12, 132, 2, 0.10000000000000001, -9.4750925775270556, -13.476619190614741, -12.816269901109743, 486.58549799999997
13, 132, 2, 0.10000000000000001, -9.4750925190003095, -13.787997215949344, -13.056332306548294, 784.99651700000004
14, 132, 2, 0.10000000000000001, -9.4750924976031961, -14.250670083275846, -13.412549799740450, 1432.7650550000001
25, 132, 2, 0.10000000000000001, -9.4750925214620167, -14.599584467861026, -13.698900886098436, 8325.1335560000007
