level,num,matter_type,density,hf,mbpt,cc,time
5, 132, 2, 0.12000000000000000, -10.585683907117577, -10.585683907117577, -10.585683907117577, 331.56221174100000
6, 132, 2, 0.12000000000000000, -10.585683907117577, -11.081274393575226, -11.056595485406550, 449.85575483500003
7, 132, 2, 0.12000000000000000, -10.585683907117577, -11.931967115482934, -11.793485852632825, 709.74918148600000
8, 132, 2, 0.12000000000000000, -10.585683907117577, -12.219627699630598, -12.040141192938139, 894.77632261700001
9, 132, 2, 0.12000000000000000, -10.585683975414124, -12.876147132363965, -12.592639840260587, 1463.3391207830000
10, 132, 2, 0.12000000000000000, -10.585684040521661, -13.358958598955782, -12.996088937402405, 2141.2473535340000
11, 132, 2, 0.12000000000000000, -10.585684024748078, -13.704858428379957, -13.285622174632264, 2912.1248647719999
12, 132, 2, 0.12000000000000000, -10.585683935908536, -13.778125424633068, -13.346969475786270, 3184.4214699780000
13, 132, 2, 0.12000000000000000, -10.585684026696764, -13.969474310304481, -13.511771563434895, 3956.0196998279998
14, 132, 2, 0.12000000000000000, -10.585684058709115, -14.219012626954528, -13.728726900669908, 6611.4651725590002
15, 132, 2, 0.12000000000000000, -10.585683866802849, -14.232905178870720, -13.741650000054257, 1728.2938027340001
16, 132, 2, 0.12000000000000000, -10.585683920469464, -14.303124317739407, -13.808133386913330, 1415.5102892370001
17, 132, 2, 0.12000000000000000, -10.585683925316111, -14.337317423495859, -13.842129701081090, 1893.3015541310001
18, 132, 2, 0.12000000000000000, -10.585684091013814, -14.347639837365362, -13.852776063245418, 1983.4604964390001
19, 132, 2, 0.12000000000000000, -10.585683902076719, -14.353408523393046, -13.859167279375701, 1976.1022296540000
20, 132, 2, 0.12000000000000000, -10.585683912163844, -14.362012071841542, -13.869043189894011, 2622.8239516479998
21, 132, 2, 0.12000000000000000, -10.585684043875510, -14.363827894180124, -13.871239990142357, 3052.3494629319998
22, 132, 2, 0.12000000000000000, -10.585683911759283, -14.364166893431502, -13.871768052677393, 5558.4374881220001
23, 132, 2, 0.12000000000000000, -10.585684106577423, -14.364532093180927, -13.872375848614139, 4859.6532508299997
