states,particles,matter_type,density,hf,mbpt,cc,time
7, 132, 2, 0.14000000000000001, -11.252940659088086, -13.279379981574811, -13.053147433518573, 41.013407000000001
8, 132, 2, 0.14000000000000001, -11.252940659088091, -13.720508222510041, -13.432281547383054, 60.047378000000002
9, 132, 2, 0.14000000000000001, -11.252940851919158, -14.702077282694169, -14.263473485121343, 143.55468700000000
10, 132, 2, 0.14000000000000001, -11.252941033714384, -15.315734445768474, -14.780184066138993, 304.79974499999997
11, 132, 2, 0.14000000000000001, -11.252940989360807, -15.733265667712299, -15.134940519624889, 424.59828499999998
12, 132, 2, 0.14000000000000001, -11.252940740467421, -15.829268387698496, -15.218452946482815, 510.90052300000002
13, 132, 2, 0.14000000000000001, -11.252941000326349, -16.038179259184201, -15.405295945240283, 862.02126799999996
14, 132, 2, 0.14000000000000001, -11.252941089367495, -16.300047053339402, -15.646129975191196, 1477.6021240000000
25, 132, 2, 0.14000000000000001, -11.252940979193571, -16.399776582029389, -15.756444763542483, 8331.2068909999998
