states,particles,matter_type,density,hf,mbpt,cc,time
7, 132, 2, 0.16000000000000000, -11.476665625746074, -13.775646527617967, -13.538440667298129, 41.378802000000000
8, 132, 2, 0.16000000000000000, -11.476665625746064, -14.243767769695006, -13.951576682490058, 50.221930999999998
9, 132, 2, 0.16000000000000000, -11.476665754640473, -15.229031191888609, -14.814949634361483, 119.76954499999999
10, 132, 2, 0.16000000000000000, -11.476665874998844, -15.799687367600185, -15.318772936558556, 301.06885499999999
11, 132, 2, 0.16000000000000000, -11.476665845471956, -16.153073061696688, -15.638271789184977, 342.18793399999998
12, 132, 2, 0.16000000000000000, -11.476665680157067, -16.227874631600081, -15.708330932611378, 424.27791900000000
13, 132, 2, 0.16000000000000000, -11.476665855793312, -16.385338663160560, -15.862186386886089, 806.32157099999995
14, 132, 2, 0.16000000000000000, -11.476665914553378, -16.566184004800657, -16.047218853396998, 1485.2263370000001
25, 132, 2, 0.16000000000000000, -11.476665568220540, -16.613913455626633, -16.111786694234414, 8308.2211069999994
