states,particles,matter_type,density,hf,mbpt,cc,time
6, 132, 2, 0.14000000000000001, -11.252940659088077, -11.976679388949448, -11.924606528010338, 30.904487000000000
8, 132, 2, 0.14000000000000001, -11.252940659088086, -13.720508222510093, -13.695941547241567, 96.952060000000003
9, 132, 2, 0.14000000000000001, -11.252940851919140, -14.702077282694130, -14.65277350234186 , 226.38696999999999
10, 132, 2, 0.14000000000000001, -11.252941033714382, -15.315734445768477, -15.259864066129836 , 466.22860100000003
11, 132, 2, 0.14000000000000001, -11.252940989360813, -15.733265667712361, -15.687240519652176, 664.24918900000000
12, 132, 2, 0.14000000000000001, -11.252940740467414, -15.829268387698466, -15.788932946477525, 788.09394999999995
13, 132, 2, 0.14000000000000001, -11.252941000326359, -16.038179259184133, -16.014705945242532, 1234.4364220000000
14, 132, 2, 0.14000000000000001, -11.252941089367496, -16.300047053339270, -16.311789975180353, 2217.0200880000002
23, 132, 2, 0.14000000000000001, -11.252940863817695, -16.399724264594344, -16.461127618385134, 11970.362034000000
