level,num,matter_type,density,hf,mbpt,cc,time
5, 132, 2, 0.12000000000000000, -10.585683907117552, -10.585683907117552, -10.585683907117552+ 0.00000, 315.97771809000000
6, 132, 2, 0.12000000000000000, -10.585683907117552, -11.081274393575191, -11.056595485404490+ -0.04170, 405.89359407799998
7, 132, 2, 0.12000000000000000, -10.585683907117552, -11.931967115482921, -11.793485852662549+ -0.15097, 652.91095009300000
8, 132, 2, 0.12000000000000000, -10.585683907117552, -12.219627699630578, -12.040141192946663+ -0.18958, 839.32049646200005
9, 132, 2, 0.12000000000000000, -10.585683975414099, -12.876147132363968, -12.592639840266425+ -0.27440, 1547.1197282460000
10, 132, 2, 0.12000000000000000, -10.585684040521627, -13.358958598955679, -12.996088937669501+ -0.33861, 2456.6896659059998
11, 132, 2, 0.12000000000000000, -10.585684024748037, -13.704858428379957, -13.285622174627953+ -0.39268, 3488.0251372729999
12, 132, 2, 0.12000000000000000, -10.585683935908543, -13.778125424633126, -13.346969475772225+ -0.40640, 3871.8335507910001
13, 132, 2, 0.12000000000000000, -10.585684026696732, -13.969474310304358, -13.511771563409980+ -0.43775, 5361.1526720550000
14, 132, 2, 0.12000000000000000, -10.585684058709109, -14.219012626954370, -13.728726900690718+ -0.48562, 9038.9079854030006
15, 132, 2, 0.12000000000000000, -10.585683866802858, -14.232905178870555, -13.741650000124292+ -0.48909, 9984.2459598269998
16, 132, 2, 0.12000000000000000, -10.585683920469460, -14.303124317739524, -13.808133386956769+ -0.50699, 15269.609111496000
17, 132, 2, 0.12000000000000000, -10.585683925316092, -14.337317423495829, -13.842129690624311+ -0.51660, 21011.196487313999
18, 132, 2, 0.12000000000000000, -10.585684091013814, -14.347639837365573, -13.852776055177184+ -0.52096, 24480.392308097998
19, 132, 2, 0.12000000000000000, -10.585683902076710, -14.353408523393169, -13.859167278802419+ -0.52406, 28199.598670645999
23, 132, 2, 0.12000000000000000, -10.585684106577443, -14.364532093182827, -13.872375828106813+ -0.52994, 18760.406654900999
