level,num,matter_type,density,hf,mbpt,cc,time
5, 132, 2, 0.17999999999999999, -11.264722572093264, -11.264722572093264, -11.264722572093264+ 0.00000, 999.24457483900005
6, 132, 2, 0.17999999999999999, -11.264722572093264, -11.920826180014094, -11.878388868284027+ -0.04339, 1197.8399891720001
7, 132, 2, 0.17999999999999999, -11.264722572093266, -13.016182137248904, -12.887960062088197+ -0.19408, 718.40562105000004
8, 132, 2, 0.17999999999999999, -11.264722572093266, -13.336712518395020, -13.191814490859446+ -0.25002, 912.08590234899998
9, 132, 2, 0.17999999999999999, -11.264722902932819, -13.966418242337230, -13.792017242116696+ -0.36863, 1685.6637812080000
10, 132, 2, 0.17999999999999999, -11.264723209196784, -14.339956806088029, -14.161106637379445+ -0.45040, 2318.1917931309999
11, 132, 2, 0.17999999999999999, -11.264723133689058, -14.544576447856663, -14.372741120671472+ -0.51056, 9144.5690327690008
12, 132, 2, 0.17999999999999999, -11.264722711717482, -14.578687066436434, -14.408730584837492+ -0.52355, 4049.8614306700001
13, 132, 2, 0.17999999999999999, -11.264723166758474, -14.661588374741370, -14.504153616109560+ -0.55139, 15700.706247885000
14, 132, 2, 0.17999999999999999, -11.264723315866263, -14.744561596353330, -14.605208048154793+ -0.58660, 10589.410854281999
15, 132, 2, 0.17999999999999999, -11.264722309178051, -14.746357431961364, -14.608244559038146+ -0.58826, 10156.769169818001
16, 132, 2, 0.17999999999999999, -11.264722642559143, -14.755959833070808, -14.624778653036207+ -0.59584, 17014.070498428999
17, 132, 2, 0.17999999999999999, -11.264722603394954, -14.759647035127248, -14.631974038638139+ -0.59911, 25894.978522895999
18, 132, 2, 0.17999999999999999, -11.264723465913541, -14.760154011088723, -14.633302513692728+ -0.60021, 31188.086004296001
23, 132, 2, 0.17999999999999999, -11.264722932021101, -14.760719308515291, -14.635358441495761+ -0.60162, 18992.237770117001
