level,num,matter_type,density,hf,mbpt,cc,time
5, 132, 2, 0.10000000000000001, -9.4750925963695884, -9.4750925963695884, -9.4750925963695884+ 0.00000, 322.8504872899999
6, 132, 2, 0.10000000000000001, -9.4750925963695884, -9.9336579862349073, -9.9288725664251878+ -0.04842, 395.00149726600000
7, 132, 2, 0.10000000000000001, -9.4750925963695884, -10.724711639949003, -10.623440286535136+ -0.16529, 646.29822504499998
8, 132, 2, 0.10000000000000001, -9.4750925963695884, -10.996132986057244, -10.851989331058730+ -0.20261, 852.48591900600002
9, 132, 2, 0.10000000000000001, -9.4750925515596975, -11.634596430806035, -11.375591678348707+ -0.28309, 1583.1383858470001
10, 132, 2, 0.10000000000000001, -9.4750925082490323, -12.122197729999474, -11.766020088493271+ -0.34321, 2413.4867795489999
11, 132, 2, 0.10000000000000001, -9.4750925186331987, -12.498194368308656, -12.063975263936058+ -0.39533, 3559.4948689560001
12, 132, 2, 0.10000000000000001, -9.4750925775270431, -12.583967862678049, -12.131577808017386+ -0.40929, 3981.9080856149999
13, 132, 2, 0.10000000000000001, -9.4750925190003006, -12.815491289254954, -12.315432454814330+ -0.44085, 5375.1953092129997
14, 132, 2, 0.10000000000000001, -9.4750924976031854, -13.144932870780066, -12.576433412070468+ -0.49222, 9431.0235699919995
15, 132, 2, 0.10000000000000001, -9.4750926182660447, -13.167192261616179, -12.594768473029355+ -0.49640, 10316.249489780001
15, 132, 2, 0.10000000000000001, -9.4750926182660447, -13.167192261616179, -12.594768473286400+ -0.49640, 10363.267955224999
17, 132, 2, 0.10000000000000001, -9.4750925804840129, -13.345227282567491, -12.743093765145485+ -0.53161, 21831.460991082000
18, 132, 2, 0.10000000000000001, -9.4750924759574229, -13.367194435095479, -12.762110087206841+ -0.53804, 24696.253251740000
19, 132, 2, 0.10000000000000001, -9.4750925984330365, -13.381254542474410, -12.774751482097489+ -0.54299, 30165.308169200998
23, 132, 2, 0.10000000000000001, -9.4750925504406318, -13.409965578201339, -12.801630341125540+ -0.55353, 18824.614969749000
