states,particles,matter_type,density,hf,mbpt,cc,time
6, 132, 2, 0.17999999999999999, -11.264722572093286, -12.204851295764700, -12.133496413837824, 32.339401000000002
8, 132, 2, 0.17999999999999999, -11.264722572093271, -14.326459950335114, -14.342719512807767, 96.887107000000000
9, 132, 2, 0.17999999999999999, -11.264722902932824, -15.277742977657578, -15.348291829272869 , 198.98985800000000
10, 132, 2, 0.17999999999999999, -11.264723209196800, -15.785599948181515, -15.91825900495469, 451.09980800000000
11, 132, 2, 0.17999999999999999, -11.264723133689081, -16.071025579508468, -16.269843443313384, 640.98354800000004
12, 132, 2, 0.17999999999999999, -11.264722711717496, -16.126423761345098, -16.34420278509005 , 751.19846199999995
13, 132, 2, 0.17999999999999999, -11.264723166758476, -16.240583477311677, -16.504266136902853 , 1087.3097180000000
14, 132, 2, 0.17999999999999999, -11.264723315866270, -16.359761069152757, -16.69229791695378, 2095.4246130000001
23, 132, 2, 0.17999999999999999, -11.264722932021112, -16.380580223682596, -16.755872791113237 , 11633.457291000001
