states,particles,matter_type,density,hf,mbpt,cc,time
6, 132, 2, 0.20000000000000001, -10.631256413687403, -11.689987449833195, -11.610653063546039, 52.727570000000000
8, 132, 2, 0.20000000000000001, -10.631256413687309, -13.965524774752947, -14.092852548941233 , 97.512576999999993
9, 132, 2, 0.20000000000000001, -10.631256619332177, -14.851958691624198, -15.094035240790376, 238.92375799999999
10, 132, 2, 0.20000000000000001, -10.631256808167283, -15.286528209678364, -15.624026920022269 , 449.11595299999999
11, 132, 2, 0.20000000000000001, -10.631256761382275, -15.507653379071831, -15.927462622983574, 579.42107399999998
12, 132, 2, 0.20000000000000001, -10.631256500425565, -15.546876895674865, -15.986934978576906 , 705.97876199999996
13, 132, 2, 0.20000000000000001, -10.631256785562051, -15.627269713021784, -16.112883120600213, 1123.4382510000000
14, 132, 2, 0.20000000000000001, -10.631256877275149, -15.702789171352441, -16.24850576985913 , 2099.2284850000001
23, 132, 2, 0.20000000000000001, -10.631256243264058, -15.711013593650225, -16.280638534908185, 11381.109232000001
