states,particles,matter_type,density,hf,mbpt,cc,time
6, 132, 2, 0.12000000000000000, -10.585683907117589, -11.218150063411517, -11.181126784666619, 31.370405999999999
8, 132, 2, 0.12000000000000000, -10.585683907117582, -12.763889024335032, -12.736231784346137 , 98.745761999999999
9, 132, 2, 0.12000000000000000, -10.585683975414145, -13.703341050287170, -13.616167560682078, 243.51035200000001
10, 132, 2, 0.12000000000000000, -10.585684040521670, -14.331928914131117, -14.203567379784216, 464.54444799999999
11, 132, 2, 0.12000000000000000, -10.585684024748083, -14.798883543860081, -14.646183833742084, 621.38188300000002
12, 132, 2, 0.12000000000000000, -10.585683935908589, -14.914764731030987, -14.758099408886158, 728.96775300000002
13, 132, 2, 0.12000000000000000, -10.585684026696779, -15.178434672613779, -15.014672894049088, 1096.4081209999999
14, 132, 2, 0.12000000000000000, -10.585684058709152, -15.537917096399559, -15.374843564385134, 1877.0803440000000
23, 132, 2, 0.12000000000000000, -10.585684106577483, -15.729953160825957, -15.6095472808245, 11951.882396999999
