states,particles,matter_type,density,hf,mbpt,cc,time
6, 132, 2, 0.10000000000000001, -9.4750925963695938, -10.027037558761684, -10.013146488879217, 32.638635000000001
8, 132, 2, 0.10000000000000001, -9.4750925963695956, -11.381141890502972, -11.39958505931193, 98.255320999999995
9, 132, 2, 0.10000000000000001, -9.4750925515597064, -12.245959308544592, -12.190803584834061, 201.36451099999999
10, 132, 2, 0.10000000000000001, -9.4750925082490465, -12.857309589943135, -12.740837007723428, 455.69910299999998
11, 132, 2, 0.10000000000000001, -9.4750925186332129, -13.346888736818549, -13.18027201490506 , 662.93222100000003
12, 132, 2, 0.10000000000000001, -9.4750925775270503, -13.476619190614686, -13.29709990133647, 780.61224500000003
13, 132, 2, 0.10000000000000001, -9.4750925190003112, -13.787997215949352, -13.575472306576744, 1206.6512459999999
14, 132, 2, 0.10000000000000001, -9.4750924976031943, -14.250670083275855, -13.99381979977671, 2178.3013780000001
23, 132, 2, 0.10000000000000001, -9.4750925504406425, -14.597026547431117, -14.35113616729622, 11649.467076000001
