level,num,matter_type,density,hf,mbpt,cc,time
5, 132, 2, 0.16000000000000000, -11.476665625746065, -11.476665625746065, -11.476665625746065+ 0.00000, 405.88832545999998
6, 132, 2, 0.16000000000000000, -11.476665625746065, -12.068945591252959, -12.028910233809933+ -0.04027, 453.66872965300001
7, 132, 2, 0.16000000000000000, -11.476665625746065, -13.071947266256323, -12.931048410559043+ -0.16978, 817.32335515099999
8, 132, 2, 0.16000000000000000, -11.476665625746065, -13.386493299367800, -13.219340311827164+ -0.21855, 947.22815633000005
9, 132, 2, 0.16000000000000000, -11.476665754640498, -14.041531101609735, -13.818858584460331+ -0.32515, 1837.1884951360000
10, 132, 2, 0.16000000000000000, -11.476665874998840, -14.463927637958829, -14.213948931635445+ -0.40230, 2654.9005361630002
11, 132, 2, 0.16000000000000000, -11.476665845471954, -14.717907757093577, -14.458292638204625+ -0.46189, 3872.3432550920002
12, 132, 2, 0.16000000000000000, -11.476665680157064, -14.763834044969663, -14.502990868996628+ -0.47545, 4346.6827958860003
13, 132, 2, 0.16000000000000000, -11.476665855793309, -14.877311716088778, -14.621114637406142+ -0.50541, 6085.3186544040000
14, 132, 2, 0.16000000000000000, -11.476665914553381, -15.002025227174865, -14.755833193968185+ -0.54578, 10161.084870725001
15, 132, 2, 0.16000000000000000, -11.476665530723578, -15.006096925476925, -14.761129411683072+ -0.54799, 11820.431032650000
16, 132, 2, 0.16000000000000000, -11.476665652634193, -15.026538128550886, -14.788730939045520+ -0.55855, 20137.104653066999
17, 132, 2, 0.16000000000000000, -11.476665644085577, -15.035063193270316, -14.801409238951273+ -0.56346, 42935.636785445000
18, 132, 2, 0.16000000000000000, -11.476665973714319, -15.036655953364019, -14.804175796062221+ -0.56529, 26337.501037749000
19, 132, 2, 0.16000000000000000, -11.476665611112907 ,-15.037280129895324, -14.805545901390929+ -0.56636, 54259.732080754002
23, 132, 2, 0.16000000000000000, -11.476665518700559, -15.038600031884933, -14.808554318610796+ -0.56803, 18865.356369146000
