states,particles,matter_type,density,hf,mbpt,cc,time
6, 132, 2, 0.16000000000000000, -11.476665625746096, -12.303668595750141, -12.240980551749335, 53.539630000000002
8, 132, 2, 0.16000000000000000, -11.476665625746071, -14.243767769695086, -14.253566681850268, 85.346577999999994
9, 132, 2, 0.16000000000000000, -11.476665754640488, -15.229031191888662, -15.260129651176921, 206.41060100000001
10, 132, 2, 0.16000000000000000, -11.476665874998849, -15.799687367600276, -15.863192936559383, 452.20281799999998
11, 132, 2, 0.16000000000000000, -11.476665845471961, -16.153073061696723, -16.25851180070755, 539.45230500000002
12, 132, 2, 0.16000000000000000, -11.476665680157080, -16.227874631600134, -16.346670921701733, 708.23606900000004
13, 132, 2, 0.16000000000000000, -11.476665855793327, -16.385338663160670, -16.5378363867674, 1171.2566950000000
14, 132, 2, 0.16000000000000000, -11.476665914553385, -16.566184004800526, -16.773588853395488, 2107.8042209999999
23, 132, 2, 0.16000000000000000, -11.476665518700546, -16.613909474737117, -16.86508077829477, 11631.737738000000
