level,num,matter_type,density,hf,mbpt,cc,time
5, 132, 2, 0.20000000000000001, -10.631256413687314, -10.631256413687314, -10.631256413687314+ 0.00000, 315.43384495200002
6, 132, 2, 0.20000000000000001, -10.631256413687314, -11.359457656303391, -11.315106842133371+ -0.04816, 367.79165255499998
7, 132, 2, 0.20000000000000001, -10.631256413687314, -12.549571631056766, -12.434635066959947+ -0.22442, 512.57159172900003
8, 132, 2, 0.20000000000000001, -10.631256413687320, -12.868242187027318, -12.746137785602743+ -0.28750, 740.41720043800001
9, 132, 2, 0.20000000000000001, -10.631256619332166, -13.456767950046469, -13.328161829429709+ -0.41587, 934.77998923500002
10, 132, 2, 0.20000000000000001, -10.631256808167281, -13.775672365714298, -13.660370234068129+ -0.49952, 1226.2346289820000
11, 132, 2, 0.20000000000000001, -10.631256761382277, -13.934434124220099, -13.837258939164556+ -0.55813, 1601.1366322460001
12, 132, 2, 0.20000000000000001, -10.631256500425549, -13.958835268087540, -13.865316414303610+ -0.57017, 1751.8524278679999
13, 132, 2, 0.20000000000000001, -10.631256785562059, -14.017824811880629, -13.940745543860096+ -0.59515, 2228.9399633550001
14, 132, 2, 0.20000000000000001, -10.631256877275151, -14.071045057208845, -14.014656343011426+ -0.62478, 3532.1408821390000
15, 132, 2, 0.20000000000000001, -10.631256239786683, -14.071715311166423, -14.016328612989581+ -0.62598, 3914.7537979620001
16, 132, 2, 0.20000000000000001, -10.631256458192865, -14.075779782177021, -14.025990980222263+ -0.63125, 5494.5918905879998
17, 132, 2, 0.20000000000000001, -10.631256424520583, -14.077229191395720, -14.029999977319017+ -0.63338, 7124.3457058750000
18, 132, 2, 0.20000000000000001, -10.631256969536150, -14.077368668545001, -14.030642432015036+ -0.63399, 8302.9150852050007
19, 132, 2, 0.20000000000000001, -10.631256384332415, -14.077398774888985, -14.030931965449678+ -0.63429, 9693.6087418509996
20, 132, 2, 0.20000000000000001, -10.631256414086550, -14.077517707576121, -14.031531652583684+ -0.63463, 12797.915060982001
21, 132, 2, 0.20000000000000001, -10.631256853332770, -14.077522888619056, -14.031618285534082+ -0.63469, 14491.599571199000
22, 132, 2, 0.20000000000000001, -10.631256416606449, -14.077522520443802, -14.031627280400713+ -0.63470, 16436.982439144998
23, 132, 2, 0.20000000000000001, -10.631256243264048, -14.077522385338350, -14.031641959975156+ -0.63471, 18755.311597630000
